"Issue ID","Issue Type","Summary","Parent","Priority","Description","Labels","Labels","Labels"
"EP-HIS","Epic","Historias de usuario","","Medium","Backlog de producto del modulo Catalogo. Los criterios completos estan en docs/HISTORIAS.md v1.2 del repositorio teambsoft-backend.","epica-historias","",""
"EP-BAC","Epic","Backend - Microservicio de Catalogo","","Highest","Spring Boot 4.1.1 + MongoDB 7.0 + RabbitMQ. Repositorio: teambsoft-backend.","epica-backend","",""
"EP-FRO","Epic","Frontend - Modulo de Catalogo","","High","Vue 3 + Vite. Repositorio: teambsoft-frontend.","epica-frontend","",""
"EP-HOS","Epic","Host App","","Highest","Cascaron donde se montan los modulos de los 3 equipos. Repositorio: teambsoft-hostapp. De esta epica dependen los equipos A y C.","epica-hostapp","",""
"EP-DOC","Epic","Documentacion y coordinacion","","Medium","Contratos, historias, arquitectura, guias y los acuerdos con los equipos A y C.","epica-documentacion","",""
"HIS-1","Story","Historia 1 - Registrar producto","EP-HIS","High","Como administrador, quiero registrar un producto con nombre, descripcion, precio, categoria, stock e imagenes, para que este disponible en el catalogo.

Criterios de aceptacion:
- Con nombre, precio, categoria y stock validos, se guarda como activo y devuelve el producto con su ID.
- Si falta un campo obligatorio o un valor no cumple las reglas del contrato (precio > 0, stock >= 0, categoria existente, nombre de maximo 120 caracteres), devuelve 400 VALIDACION_FALLIDA.

Backend: tarea B2. Frontend: tarea F3.","sprint-1","hector",""
"HIS-2","Story","Historia 2 - Listar productos","EP-HIS","High","Como cliente, quiero ver el listado de productos activos, para explorar que puedo comprar.

Criterios de aceptacion:
- Recibo nombre, precio, imagen y categoria de cada uno.
- Los productos desactivados no aparecen.
- Puedo filtrar por categoria.
- El listado viene paginado, 20 por pagina si no pido otro tamano, y la primera pagina es la 1.

Backend: tarea B3. Frontend: tarea F2.","sprint-1","jhon",""
"HIS-3","Story","Historia 3 - Ver detalle de un producto","EP-HIS","High","Como cliente, quiero ver el detalle de un producto, para decidir si lo compro.

Criterios de aceptacion:
- Recibo toda su informacion: nombre, descripcion, precio, categoria, stock, imagenes y activo.
- Si el producto esta desactivado, igual lo recibo, con activo: false. No es un 404.
- Si no existe, recibo 404 PRODUCTO_NO_ENCONTRADO.

El equipo C depende de este endpoint para validar antes de agregar al carrito.
Backend: tarea B3. Frontend: tarea F2.","sprint-1","jhon",""
"HIS-4","Story","Historia 4 - Actualizar producto","EP-HIS","Medium","Como administrador, quiero actualizar los datos de un producto, para mantener la informacion al dia.

Criterios de aceptacion:
- Envio el producto completo: PUT reemplaza, no modifica campo por campo.
- Si un valor no cumple las validaciones, recibo 400 VALIDACION_FALLIDA.
- Si el producto no existe, recibo 404.
- Actualizarlo no cambia su estado: si estaba inactivo, sigue inactivo.

Backend: tarea B2. Frontend: tarea F3.","sprint-1","hector",""
"HIS-5","Story","Historia 5 - Desactivar producto","EP-HIS","Medium","Como administrador, quiero desactivar un producto que ya no se vende, para que no aparezca en el catalogo.

Criterios de aceptacion:
- Queda marcado como inactivo y deja de aparecer en el listado.
- El registro no se borra fisicamente.
- Si ya estaba inactivo, responde con exito sin cambiar nada ni publicar otro evento.
- Si el producto no existe, recibo 404.

Backend: tarea B3. Frontend: tarea F3.","sprint-1","jhon",""
